Type_of_aggregates,Design_F'c (Mpa),Curing_age_(days),Cs_(Mpa),Er_(ohm-cm),UPV_(m/s)
Rounded,25,3,5.2154,5.8654,2440.2989
Rounded,25,3,5.1528,5.9471,2417.9562
Rounded,25,3,5.6877,5.9965,2429.9277
Rounded,25,3,5.1476,5.8751,2435.0202
Rounded,25,3,5.3406,5.8654,2408.7969
Rounded,25,3,5.7079,5.9198,2408.8415
Rounded,25,3,5.5836,5.8228,2408.0798
Rounded,25,3,5.3993,5.9035,2419.3565
Rounded,25,3,5.1173,5.9039,2428.6068
Rounded,25,3,5.1122,5.8182,2435.9962
Rounded,25,3,5.6666,5.9372,2419.8088
Rounded,25,3,5.1083,5.9443,2424.3852
Rounded,25,3,5.1175,5.8278,2415.8847
Rounded,25,3,5.4415,5.8306,2420.1791
Rounded,25,3,5.2253,5.8355,2434.5926
Rounded,25,3,5.6774,5.8824,2409.6097
Rounded,25,3,5.4852,5.8032,2411.5735
Rounded,25,3,5.146,5.9499,2407.9095
Rounded,25,3,5.2308,5.8501,2421.8989
Rounded,25,3,5.116,5.9383,2441.4744
Rounded,25,3,5.4361,5.8021,2463.0983
Rounded,25,3,5.1071,5.8274,2616.921
Rounded,25,3,5.5387,5.8991,2576.4773
Rounded,25,3,5.5838,5.8379,2546.8419
Rounded,25,3,5.4483,5.8992,2541.0645
Rounded,25,3,5.4902,5.8262,2557.27
Rounded,25,3,5.4825,5.865,2519.9439
Rounded,25,3,5.2963,5.8717,2588.1649
Rounded,25,3,5.436,5.8717,2641.9496
Rounded,25,3,5.179,5.8736,2546.9795
Rounded,25,3,5.4628,5.811,2565.7394
Rounded,25,3,5.105,5.8135,2504.8905
Rounded,25,3,5.2351,5.8586,2581.0893
Rounded,25,3,5.1126,5.8514,2633.3553
Rounded,25,3,5.1397,5.8635,2611.14
Rounded,25,3,5.5251,5.8914,2444.4347
Rounded,25,3,5.4569,5.8358,2577.8858
Rounded,25,3,5.2564,5.8428,2455.1365
Rounded,25,3,5.5924,5.8796,2530.0875
Rounded,25,3,5.1064,5.8297,2641.9479
Rounded,25,3,5.6462,5.9,2644.3607
Rounded,25,3,5.6426,5.9,2400.3977
Rounded,25,3,5.6666,5.9,2427.818
Rounded,25,3,5.6684,5.9,2655.9265
Rounded,25,3,5.6305,5.9,2496.1158
Rounded,25,3,5.6494,5.9,2575.5535
Rounded,25,3,5.6466,5.9,2459.0831
Rounded,25,3,5.6591,5.9,2447.1127
Rounded,25,3,5.6631,5.9,2430.1131
Rounded,25,3,5.6659,5.9,2536.6495
Rounded,25,3,5.636,5.9,2444.032
Rounded,25,3,5.6612,5.9,2464.287
Rounded,25,3,5.6597,5.9,2653.5863
Rounded,25,3,5.6289,5.9,2621.7677
Rounded,25,3,5.6262,5.9,2379.0818
Rounded,25,3,5.6499,5.9,2606.5637
Rounded,25,3,5.6787,5.9,2618.7186
Rounded,25,3,5.64,5.9,2485.5645
Rounded,25,3,5.6553,5.9,2519.3887
Rounded,25,3,5.6328,5.9,2430.3067
Rounded,25,3,5.2122,5.8243,2620.4927
Rounded,25,3,5.522,5.8029,2723.9401
Rounded,25,3,5.3654,5.8313,2495.2729
Rounded,25,3,5.2448,5.8402,2545.7667
Rounded,25,3,5.125,5.8527,2618.8615
Rounded,25,3,5.0823,5.8875,2692.8944
Rounded,25,3,5.3396,5.8527,2738.1482
Rounded,25,3,5.5947,5.8315,2503.4245
Rounded,25,3,5.588,5.8581,2466.499
Rounded,25,3,5.5205,5.8649,2401.6052
Rounded,25,3,5.1564,5.8796,2483.2778
Rounded,25,3,5.5225,5.8805,2621.6603
Rounded,25,3,5.1729,5.8792,2583.36
Rounded,25,3,5.5292,5.8881,2451.2197
Rounded,25,3,5.1011,5.8371,2609.1285
Rounded,25,3,5.4627,5.8037,2434.7498
Rounded,25,3,5.5585,5.8026,2345.9812
Rounded,25,3,5.5245,5.8116,2418.7116
Rounded,25,3,5.2966,5.8259,2580.2089
Rounded,25,3,5.3857,5.8241,2434.3373
Rounded,25,7,17.325,3.6089,2949.9016
Rounded,25,7,16.7155,3.7363,2949.498
Rounded,25,7,16.4844,3.7237,2949.9606
Rounded,25,7,16.7376,3.5816,2949.8057
Rounded,25,7,16.2578,3.7221,2949.6509
Rounded,25,7,16.3132,3.6082,2947.8722
Rounded,25,7,17.5775,3.608,2949.0707
Rounded,25,7,17.5995,3.6969,2949.5432
Rounded,25,7,17.005,3.5889,2950.1113
Rounded,25,7,16.2005,3.7599,2948.5416
Rounded,25,7,16.4737,3.7933,2949.6991
Rounded,25,7,16.6584,3.6097,2949.8208
Rounded,25,7,17.3889,3.7192,2949.6518
Rounded,25,7,16.1313,3.7675,2949.2386
Rounded,25,7,16.1744,3.6714,2948.6132
Rounded,25,7,16.371,3.7482,2947.818
Rounded,25,7,17.1203,3.6504,2948.593
Rounded,25,7,17.2493,3.7033,2947.8253
Rounded,25,7,17.1182,3.7029,2950.5392
Rounded,25,7,16.811,3.6376,2950.2992
Rounded,25,7,16.792,3.6819,2986.3811
Rounded,25,7,17.1935,3.6492,2994.9156
Rounded,25,7,16.4755,3.6125,2989.5055
Rounded,25,7,17.3654,3.6583,2959.5872
Rounded,25,7,16.5682,3.5991,2975.4119
Rounded,25,7,17.3741,3.611,2978.9423
Rounded,25,7,17.0779,3.593,2996.0709
Rounded,25,7,16.6662,3.5962,2995.7856
Rounded,25,7,16.4186,3.6744,2957.9305
Rounded,25,7,17.5381,3.5941,2962.4503
Rounded,25,7,16.1797,3.5988,2976.5713
Rounded,25,7,16.4258,3.6623,2973.1057
Rounded,25,7,16.8885,3.6737,2949.7927
Rounded,25,7,16.97,3.6116,2958.8619
Rounded,25,7,16.9525,3.6255,2962.3444
Rounded,25,7,17.1774,3.6674,2949.7088
Rounded,25,7,16.8537,3.6835,2979.8967
Rounded,25,7,16.8501,3.6253,2965.5957
Rounded,25,7,16.3587,3.5924,2975.8633
Rounded,25,7,16.3952,3.6678,2958.3775
Rounded,25,7,16.1732,3.6552,3001.8462
Rounded,25,7,16.1293,3.6867,3000.26
Rounded,25,7,16.2009,3.5752,3000.5583
Rounded,25,7,16.1548,3.64,2998.0286
Rounded,25,7,16.1247,3.6769,2999.9875
Rounded,25,7,16.222,3.6549,2999.274
Rounded,25,7,16.2116,3.6823,3000.6854
Rounded,25,7,16.1577,3.5658,2998.4956
Rounded,25,7,16.1696,3.621,2998.0539
Rounded,25,7,16.1638,3.6809,3000.1279
Rounded,25,7,16.101,3.5382,2999.7213
Rounded,25,7,16.1165,3.6435,3000.7277
Rounded,25,7,16.1445,3.6586,3001.9228
Rounded,25,7,16.1048,3.5947,2999.3489
Rounded,25,7,16.2063,3.5667,2999.5325
Rounded,25,7,16.0989,3.5858,3000.9866
Rounded,25,7,16.104,3.6576,3000.8753
Rounded,25,7,16.0949,3.5849,3001.9364
Rounded,25,7,16.1043,3.675,2999.7452
Rounded,25,7,16.1387,3.5823,3000.2179
Rounded,25,7,16.6788,3.7254,3001.0976
Rounded,25,7,17.558,3.7618,3001.8836
Rounded,25,7,16.8498,3.7297,3001.9229
Rounded,25,7,16.4975,3.7419,3001.1574
Rounded,25,7,17.5314,3.6687,3001.677
Rounded,25,7,17.6389,3.7509,3001.5339
Rounded,25,7,16.8623,3.5572,3001.2873
Rounded,25,7,16.3916,3.556,3001.5472
Rounded,25,7,16.6026,3.6997,3001.6872
Rounded,25,7,16.819,3.5644,3001.9783
Rounded,25,7,17.0863,3.6836,3001.9944
Rounded,25,7,16.6086,3.7648,3001.933
Rounded,25,7,17.0977,3.609,3001.9542
Rounded,25,7,17.2533,3.6687,3001.4988
Rounded,25,7,16.5505,3.6057,3001.756
Rounded,25,7,16.4007,3.6136,3001.6375
Rounded,25,7,16.6581,3.6829,3001.1396
Rounded,25,7,16.6898,3.7381,3001.0755
Rounded,25,7,16.8411,3.5866,3001.0569
Rounded,25,7,16.9613,3.624,3001.9885
Rounded,25,7,17.5367,3.719,2951.4962
Rounded,25,7,17.2649,3.6657,2986.2886
Rounded,25,7,16.4378,3.6535,2995.9912
Rounded,25,7,17.6231,3.59,2957.5083
Rounded,25,7,16.2415,3.7338,2967.0599
Rounded,25,7,16.5463,3.5606,2970.5812
Rounded,25,7,16.9176,3.5433,3000.9581
Rounded,25,7,16.7795,3.5468,2985.1011
Rounded,25,7,17.3036,3.6769,2954.1635
Rounded,25,7,16.9633,3.586,2977.601
Rounded,25,7,16.1889,3.5723,2988.7904
Rounded,25,7,16.8282,3.5903,2962.044
Rounded,25,7,16.8676,3.6782,2992.2561
Rounded,25,7,17.3123,3.6886,2970.8789
Rounded,25,7,16.9171,3.5397,2966.1014
Rounded,25,7,16.7096,3.5806,2998.8188
Rounded,25,7,16.625,3.7533,2992.1687
Rounded,25,7,17.0606,3.6132,2993.1492
Rounded,25,7,17.1037,3.5827,2963.0133
Rounded,25,7,16.1506,3.5944,2955.0991
Rounded,25,7,16.1297,3.5736,2978.5041
Rounded,25,7,16.0742,3.594,2979.1042
Rounded,25,7,16.0723,3.5787,2980.9543
Rounded,25,7,16.08,3.5951,2970.5596
Rounded,25,7,16.1257,3.5834,2960.3959
Rounded,25,7,16.115,3.5975,2968.3316
Rounded,25,7,16.1102,3.5771,2998.1674
Rounded,25,7,16.0876,3.5539,2951.6879
Rounded,25,7,16.1232,3.6046,2986.35
Rounded,25,7,16.0849,3.6015,2996.2549
Rounded,25,7,16.1252,3.5805,2997.2512
Rounded,25,7,16.0893,3.5384,2963.0227
Rounded,25,7,16.0998,3.5733,2992.3991
Rounded,25,7,16.0811,3.5936,2968.8019
Rounded,25,7,16.0853,3.6048,3007.3149
Rounded,25,7,16.0729,3.541,2980.3472
Rounded,25,7,16.0738,3.5742,2963.5477
Rounded,25,7,16.1103,3.5356,2954.3048
Rounded,25,7,16.0864,3.5499,2997.6535
Rounded,25,7,16.1192,3.5637,3005.3916
Rounded,25,7,16.0869,3.7455,3028.4732
Rounded,25,7,16.5614,3.7297,3026.018
Rounded,25,7,16.3991,3.792,3034.0711
Rounded,25,7,16.3857,3.6838,3042.2742
Rounded,25,7,16.6682,3.6353,3031.558
Rounded,25,7,16.4721,3.7719,3013.2871
Rounded,25,7,16.4773,3.7575,3036.6262
Rounded,25,7,16.6381,3.7687,3030.8768
Rounded,25,7,16.6022,3.7639,3026.8155
Rounded,25,7,16.4501,3.7925,3019.484
Rounded,25,7,16.1883,3.6721,3027.1016
Rounded,25,7,16.2262,3.6578,3035.7858
Rounded,25,7,16.6561,3.6474,3022.9245
Rounded,25,7,16.0857,3.6168,3040.6033
Rounded,25,7,16.3924,3.6614,3032.6514
Rounded,25,7,16.1783,3.6614,3028.627
Rounded,25,7,16.7174,3.7802,3030.4086
Rounded,25,7,16.5405,3.7012,3030.7773
Rounded,25,7,16.3994,3.7952,3032.245
Rounded,25,7,16.3799,3.6179,3016.0836
Rounded,25,7,16.739,3.5634,3042.8678
Rounded,25,7,16.8167,3.6725,3041.3881
Rounded,25,7,16.7368,3.7549,3043.1102
Rounded,25,7,16.7404,3.6255,3042.7765
Rounded,25,7,16.7967,3.7038,3041.5817
Rounded,25,7,16.7436,3.769,3042.2199
Rounded,25,7,16.8337,3.7025,3042.6673
Rounded,25,7,16.8336,3.6223,3041.2472
