station_name,observations,start_date,end_date
Shadipur CPCB,2465,2017-01-01,2023-12-31
NSIT Dwarka CPCB,2460,2017-01-02,2023-12-31
Mandir Marg DPCC,2454,2017-01-01,2023-12-31
DTU CPCB,2452,2017-01-01,2023-12-31
IHBAS Dilshad Garden CPCB,2449,2017-01-01,2023-12-31
Sirifort CPCB,2420,2017-01-01,2023-12-31
ITO CPCB,2409,2017-01-01,2023-12-31
R K Puram DPCC,2381,2017-01-01,2023-12-31
Punjabi Bagh DPCC,2360,2017-01-01,2023-12-31
Nehru Nagar DPCC,2149,2018-02-01,2023-12-31
Okhla Phase-2 DPCC,2147,2018-02-01,2023-12-31
Patparganj DPCC,2144,2018-02-01,2023-12-31
Dwarka Sector 8 DPCC,2144,2018-02-01,2023-12-31
Jahangirpuri DPCC,2141,2018-02-01,2023-12-31
Ashok Vihar DPCC,2141,2018-02-01,2023-12-31
Rohini DPCC,2138,2018-02-01,2023-12-31
Major Dhyan Chand National Stadium DPCC AQI,2138,2018-02-01,2023-12-31
Dr. Karni Singh Shooting Range DPCC,2138,2018-02-01,2023-12-31
Wazirpur DPCC,2132,2018-02-01,2023-12-31
Jawaharlal Nehru Stadium DPCC,2132,2018-02-01,2023-12-31
Anand Vihar DPCC,2131,2017-10-17,2023-12-31
Vivek Vihar DPCC,2131,2018-02-01,2023-12-31
Narela DPCC,2127,2018-02-01,2023-12-31
CRRI Mathura Road IMD,2095,2017-08-21,2023-12-31
Najafgarh DPCC,2090,2018-02-01,2023-12-31
Aya Nagar IMD,2070,2017-08-21,2023-12-31
Lodhi Road IMD,2062,2017-08-23,2023-12-31
IGI Airport T3 IMD,2028,2017-08-21,2023-12-31
Bawana DPCC,1996,2018-07-02,2023-12-31
Sri Aurobindo Marg DPCC,1994,2018-07-01,2023-12-31
Mundka DPCC,1984,2018-07-01,2023-12-31
North Campus DU IMD,1976,2017-08-26,2023-12-31
Pusa IMD,1974,2017-08-21,2023-12-31
Pusa DPCC,1967,2018-07-01,2023-12-31
Alipur DPCC,1846,2018-11-01,2023-12-31
Burari Crossing IMD,1367,2017-08-21,2023-12-31
Chandni Chowk IITM,761,2020-11-08,2023-06-08
Lodhi Road IITM,738,2020-11-08,2023-12-31
